Play,Move No.,Selected Algorithm,Time per move,Move played,Board state
11,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
12,1,Minimax,420.81403732299805,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
12,2,Minimax,7.106304168701172,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
12,3,Minimax,1.016378402709961,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
12,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
12,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
13,1,Minimax,422.039270401001,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
13,2,Minimax,6.359338760375977,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
13,3,Minimax,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
13,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
13,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
14,1,Minimax,402.8894901275635,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
14,2,Minimax,6.572723388671875,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
14,3,Minimax,0.5617141723632812,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
14,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
14,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
15,1,Minimax,412.1255874633789,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
15,2,Minimax,7.51495361328125,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
15,3,Minimax,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
15,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
15,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
16,1,Minimax,419.9841022491455,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
