Play,Move No.,Selected Algorithm,Time per move,Move played,Board state
11,2,AlphaBeta,4.007577896118164,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
11,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
11,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
11,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
12,1,AlphaBeta,60.19949913024902,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
12,2,AlphaBeta,4.002094268798828,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
12,3,AlphaBeta,1.0688304901123047,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
12,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
12,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
13,1,AlphaBeta,59.563636779785156,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
13,2,AlphaBeta,4.510164260864258,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
13,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
13,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
13,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
14,1,AlphaBeta,61.56206130981445,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
14,2,AlphaBeta,3.9463043212890625,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
14,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
14,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
14,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
15,1,AlphaBeta,60.85848808288574,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
